	CD274	PDCD1	PDCD1LG2	CTLA4	samID	clust
TCGA-G6-A8L7-01	1.26976054486394	2.28543893415908	0.916290731874155	1.49514876603197	TCGA-G6-A8L7-01	1
TCGA-B0-5713-01	2.35991015961332	1.73871024813824	2.21266038546606	0.824175442966349	TCGA-B0-5713-01	2
TCGA-BP-5010-01	1.19392246847243	1.68268837417369	1.48839958405704	1.78842056796254	TCGA-BP-5010-01	1
TCGA-B0-5102-01	2.50552593699074	1.25846098961001	1.95018670582257	0.708035793053696	TCGA-B0-5102-01	2
TCGA-BP-5185-01	1.62727783056243	1.85002837735203	0.774727167552368	0.392042087776024	TCGA-BP-5185-01	2
TCGA-CZ-5986-01	3.04832472367316	0.343589704390077	2.2060741926132	1.00430160919687	TCGA-CZ-5986-01	2
TCGA-CJ-4904-01	2.41233595695316	1.54543258245819	2.34851402488245	0.797507195884188	TCGA-CJ-4904-01	2
TCGA-CJ-5672-01	2.14943391349987	3.78282506695646	2.82790516291049	1.97546895129686	TCGA-CJ-5672-01	3
TCGA-CW-6097-01	2.14124194258528	2.61812549357422	3.21124679770371	1.870262530716	TCGA-CW-6097-01	1
TCGA-B0-4700-01	2.35232718488886	3.56868726878553	2.86277214629776	2.40514168131914	TCGA-B0-4700-01	1
TCGA-B0-5095-01	1.30562645805244	2.33117254984596	2.36368019235386	1.23256026117785	TCGA-B0-5095-01	1
TCGA-B0-4810-01	2.25654115449264	3.16716138918152	2.62756295018952	1.68824909285839	TCGA-B0-4810-01	1
TCGA-CJ-4901-01	2.64262239577975	2.99773027621666	3.0652583362026	2.43009841329301	TCGA-CJ-4901-01	1
TCGA-B8-A54H-01	1.72455071953461	2.53844741671603	1.69561560867515	0.774727167552368	TCGA-B8-A54H-01	2
TCGA-B0-5702-01	0.797507195884188	0.810930216216329	0.717839793150317	0	TCGA-B0-5702-01	1
TCGA-CZ-5468-01	2.41323161308111	1.53039470509365	2.97960289162411	1.16315080980568	TCGA-CZ-5468-01	1
TCGA-BP-4782-01	1.75785791755237	2.36085400111802	2.44927947214485	1.36353737399727	TCGA-BP-4782-01	3
TCGA-CZ-5454-01	2.12704052047911	1.57691472072854	2.89314568477889	0.444685821261446	TCGA-CZ-5454-01	3
TCGA-A3-3358-01	2.13416644136908	2.35517754311322	2.81241021642645	1.79009141212736	TCGA-A3-3358-01	3
